feature,importance,group
categorical__team_AirG,0.0,team
categorical__team_Ajin,0.0,team
categorical__team_Akel,0.0,team
categorical__team_Akum,0.0,team
categorical__team_Alej,0.0,team
categorical__team_All,0.0,team
categorical__team_AllS,0.0,team
categorical__team_Alma,0.0,team
categorical__team_Alph,0.0,team
categorical__team_Alte,0.0,team
categorical__team_Ameg,0.0,team
categorical__team_Amig,0.0,team
categorical__team_Amit,0.0,team
categorical__team_Amog,0.0,team
categorical__team_Amol,0.0,team
categorical__team_Anat,0.0,team
categorical__team_Anga,0.0,team
categorical__team_Ante,0.0,team
categorical__team_Anyw,0.0,team
categorical__team_Apes,0.0,team
categorical__team_Aqua,0.0,team
categorical__team_Arca,0.0,team
categorical__team_Arch,0.0,team
categorical__team_Ares,0.0,team
categorical__team_Aris,0.0,team
categorical__team_Arka,0.0,team
categorical__team_Arri,0.0,team
categorical__team_Arrow,0.0,team
categorical__team_Art,0.0,team
categorical__team_Asia,0.0,team
categorical__team_Aspi,0.0,team
categorical__team_Astr,0.0,team
categorical__team_At0m,0.0,team
categorical__team_Atfi,0.0,team
categorical__team_Atla,0.0,team
categorical__team_Atle,0.0,team
categorical__team_Atsu,0.0,team
categorical__team_Avan,0.0,team
categorical__team_AvgJ,0.0,team
categorical__team_Ax3,0.0,team
categorical__team_AxS,0.0,team
categorical__team_Axid,0.0,team
categorical__team_Ayam,0.0,team
categorical__team_Azte,0.0,team
categorical__team_Azul,0.0,team
categorical__team_B13,0.0,team
categorical__team_B5,0.0,team
categorical__team_B8,0.0,team
categorical__team_BA,0.0,team
categorical__team_BAAM,0.0,team
categorical__team_BASE,0.0,team
categorical__team_BATS,0.0,team
categorical__team_BAYE,0.0,team
categorical__team_BB,0.0,team
categorical__team_BBC,0.0,team
categorical__team_BBES,0.0,team
categorical__team_BBG,0.0,team
categorical__team_BBGA,0.0,team
categorical__team_BBI,0.0,team
categorical__team_BBL,0.0,team
categorical__team_BC,0.0,team
categorical__team_BD,0.0,team
categorical__team_BDS,0.0,team
categorical__team_BEDE,0.0,team
categorical__team_BEE,0.0,team
categorical__team_BELA,0.0,team
categorical__team_BENCH,0.0,team
categorical__team_BF,0.0,team
categorical__team_BG,0.0,team
categorical__team_BHB,0.0,team
categorical__team_BI,0.0,team
categorical__team_BIG,0.0,team
categorical__team_BIGG,0.0,team
categorical__team_BISM,0.0,team
categorical__team_BJK,0.0,team
categorical__team_BLAH,0.0,team
categorical__team_BLC,0.0,team
categorical__team_BLD,0.0,team
categorical__team_BLE,0.0,team
categorical__team_BLIND,0.0,team
categorical__team_BLISS,0.0,team
categorical__team_BM,0.0,team
categorical__team_BME,0.0,team
categorical__team_BNDT,0.0,team
categorical__team_BOB,0.0,team
categorical__team_BOBO,0.0,team
categorical__team_BOD,0.0,team
categorical__team_BOND,0.0,team
categorical__team_BOOM,0.0,team
categorical__team_BOS,0.0,team
categorical__team_BOSS,0.0,team
categorical__team_BOTB,0.0,team
categorical__team_BOTS,0.0,team
categorical__team_BOY,0.0,team
categorical__team_BRAC,0.0,team
