team,count,mean,median
Judg,40,0.9005000000000001,0.845
H5,20,0.9,0.975
AMZ,40,0.89925,0.88
Mill,25,0.8992,0.91
NGEN,90,0.8991111111111111,0.87
NOE,40,0.8985,0.88
EXEN,30,0.8976666666666666,0.81
Alte,85,0.8975294117647059,0.89
NapT,20,0.8975,0.895
GLD.GC,20,0.8975,0.8400000000000001
UOL,20,0.897,0.99
Stin,35,0.8957142857142858,0.88
bb k,15,0.8953333333333333,0.95
OOS,10,0.8949999999999999,0.915
GK,15,0.8946666666666666,0.81
969,45,0.8946666666666666,0.91
Jinx,15,0.8933333333333333,0.72
IN T,15,0.8933333333333333,0.83
Desc,30,0.893,0.905
325,10,0.892,0.895
Soma,10,0.892,0.8
IceC,20,0.891,0.97
N2E,25,0.8908,0.92
Team,839,0.8907628128724673,0.86
APK,155,0.8903225806451613,0.89
Acid,20,0.89,0.8200000000000001
XLG,155,0.8880645161290323,0.91
Ligh,10,0.8880000000000001,0.835
EXA,40,0.8877499999999999,0.9
KABA,40,0.8877499999999999,0.8
de_p,25,0.8876,0.82
Zake,10,0.8870000000000001,0.91
L2P,10,0.8869999999999999,0.86
who,30,0.8863333333333333,0.895
Duck,30,0.886,0.845
VAGO,10,0.8859999999999999,0.985
HOMY,15,0.8859999999999999,0.84
NGU,40,0.8859999999999999,0.99
Ecla,20,0.885,0.875
IA,40,0.8845000000000001,0.93
Monk,80,0.88425,0.9
Capa,30,0.884,0.95
YA M,10,0.884,0.89
frog,65,0.8833846153846154,0.91
RRQ,60,0.8823333333333333,0.88
TGH L,25,0.882,0.85
CNZ,25,0.8815999999999999,0.85
DNJ,20,0.8815,0.8200000000000001
Kova,10,0.881,0.895
Taun,20,0.8800000000000001,0.9299999999999999
Sino,15,0.8800000000000001,0.9
team,69,0.8798550724637682,0.87
RN,60,0.8796666666666667,0.82
fat7,30,0.879,0.865
Noct,25,0.878,0.87
IESR,15,0.878,0.9
Saks,10,0.877,0.88
Hi S,20,0.876,0.97
Cast,20,0.876,0.815
4SV_,20,0.876,0.8500000000000001
Siva,25,0.8759999999999999,0.85
HYP,20,0.8755000000000001,0.765
G2G,35,0.8745714285714286,0.9
DP,25,0.8740000000000001,0.87
SB,25,0.8740000000000001,0.72
Prin,5,0.8720000000000001,0.9
RCTI,25,0.872,0.81
IPL,10,0.8710000000000001,0.89
X9ti,10,0.8710000000000001,0.6399999999999999
Capr,25,0.8708,0.84
kapt,20,0.8705,0.895
nway,35,0.8685714285714285,0.93
NxS,45,0.8684444444444444,0.91
Sabr,10,0.868,0.89
Lanc,10,0.867,0.8200000000000001
RISE,10,0.867,0.9
Atle,30,0.8666666666666667,0.795
Lank,10,0.866,0.815
Lyft,10,0.866,0.845
NTH,35,0.8651428571428572,0.87
Circ,15,0.8646666666666667,0.85
Thor,20,0.8644999999999999,0.715
Rave,30,0.8640000000000001,0.86
Inva,30,0.8640000000000001,0.845
VALO,45,0.8626666666666667,0.72
Noma,60,0.8621666666666667,0.87
df,20,0.8615,0.815
WMTF,15,0.8613333333333333,0.76
ulit,10,0.861,0.755
PANA,15,0.8606666666666667,0.86
OA,15,0.8606666666666667,0.81
Bald,30,0.8603333333333333,0.855
High,30,0.8583333333333333,0.825
Beag,25,0.8576,0.81
S7,15,0.8573333333333333,0.96
DTT,10,0.857,0.835
Warn,10,0.857,0.8049999999999999
Spir,15,0.8566666666666667,0.86
ALTY,25,0.8552,0.86
WHAT,10,0.8550000000000001,0.9550000000000001
couc,40,0.8545,0.805
Adin,10,0.8539999999999999,0.845
ABL,25,0.8532000000000001,0.8
Bait,25,0.8532,0.92
Un M,10,0.853,0.85
Alej,25,0.8523999999999999,0.86
Look,20,0.8515,0.8049999999999999
Last,35,0.8514285714285714,0.93
Gene,35,0.8511428571428571,0.83
Whis,15,0.8506666666666667,0.83
Exy,79,0.850506329113924,0.85
BezB,25,0.8504,0.84
Virg,15,0.85,0.81
Phoe,20,0.85,0.9
Eagl,10,0.85,0.865
BME,30,0.8486666666666667,0.8
Atfi,20,0.8484999999999999,0.775
ZER,40,0.8477499999999999,0.8049999999999999
Lete,15,0.8466666666666666,0.83
TRIA,10,0.8460000000000001,0.9850000000000001
Vulp,10,0.8460000000000001,0.855
d0g,10,0.8459999999999999,0.875
KVM,15,0.8453333333333333,0.85
Karu,20,0.845,0.8049999999999999
MTF,25,0.8443999999999999,0.88
ORO,25,0.8443999999999999,0.83
ENRA,15,0.844,0.88
GG D,15,0.8433333333333334,0.79
radi,35,0.8428571428571429,0.7
Down,15,0.842,0.85
gso,10,0.841,0.8300000000000001
S1,20,0.841,0.8
FLAS,10,0.841,0.905
BBES,10,0.841,0.8049999999999999
Sun,10,0.8400000000000001,0.77
csde,10,0.8400000000000001,0.845
Vert,10,0.8400000000000001,0.815
Burs,25,0.84,0.89
Nigh,20,0.8394999999999999,0.7949999999999999
WG,10,0.8390000000000001,0.75
Tita,15,0.8386666666666667,0.84
Dele,25,0.838,0.89
JKRS,10,0.835,0.85
Tieb,10,0.835,0.8049999999999999
ULF,45,0.8348888888888889,0.86
Huma,35,0.8337142857142857,0.84
Impa,25,0.8336,0.79
xD,25,0.8332,0.86
Outr,10,0.833,0.81
21S,15,0.8326666666666667,0.7
Over,35,0.8314285714285715,0.79
No A,15,0.8313333333333334,0.63
RED8,20,0.8305,0.835
