team,count,mean,median
Rayl,15,0.998,0.99
1N,20,0.9970000000000001,0.9199999999999999
GAL,190,0.9961052631578947,0.98
LE,155,0.9960645161290321,1.0
FKS,155,0.9956774193548388,0.99
GİV,25,0.9956,0.91
Balk,105,0.9953333333333334,0.99
CSE,74,0.9951351351351352,1.05
KC,880,0.995,0.97
WFNT,100,0.9942,1.02
Z19,20,0.994,0.9199999999999999
V1,50,0.9937999999999999,0.945
REG,155,0.9932258064516128,1.04
ORG5,50,0.9924,0.965
Cavalry,35,0.9922857142857142,1.0
QLF,80,0.99225,0.985
Race,15,0.9920000000000001,1.01
Mall,25,0.9915999999999999,1.04
RAGI,20,0.9915,0.965
lani,15,0.9913333333333334,1.07
OBG,365,0.990986301369863,1.0
AXI,75,0.99,0.95
V7,65,0.9898461538461539,0.93
TWQ,105,0.9895238095238096,1.03
X10,75,0.9892,0.99
MTP,100,0.9890000000000001,0.955
MKOI,595,0.9889747899159664,0.97
PSQ,65,0.9887692307692307,1.03
Psyc,75,0.9886666666666667,0.99
feel,80,0.9882500000000001,0.91
Baec,70,0.9881428571428572,0.99
100T,85,0.9875294117647059,1.01
BBL,1310,0.9874274809160305,0.97
NoAv,70,0.9872857142857143,0.975
Rhyn,70,0.9865714285714287,0.97
SE,70,0.9864285714285714,0.97
PURP,50,0.986,0.97
VS,105,0.9858095238095239,1.0
anim,15,0.9846666666666667,1.03
AMT,280,0.9842857142857143,0.94
NoPr,18,0.9838888888888889,0.98
